2025-09-24 22:40:46,585 DEBUG __main__:170 | x14 = 0x00000000 (          0)
2025-09-24 22:40:46,585 DEBUG __main__:170 | x15 = 0x00000000 (          0)
2025-09-24 22:40:46,585 DEBUG __main__:170 | x16 = 0x00000000 (          0)
2025-09-24 22:40:46,586 DEBUG __main__:170 | x17 = 0x00000000 (          0)
2025-09-24 22:40:46,586 DEBUG __main__:170 | x18 = 0x00000000 (          0)
2025-09-24 22:40:46,586 DEBUG __main__:170 | x19 = 0x00000000 (          0)
2025-09-24 22:40:46,587 DEBUG __main__:170 | x20 = 0x00000000 (          0)
2025-09-24 22:40:46,587 DEBUG __main__:170 | x21 = 0x00000000 (          0)
2025-09-24 22:40:46,587 DEBUG __main__:170 | x22 = 0x00000000 (          0)
2025-09-24 22:40:46,587 DEBUG __main__:170 | x23 = 0x00000000 (          0)
2025-09-24 22:40:46,588 DEBUG __main__:170 | x24 = 0x00000000 (          0)
2025-09-24 22:40:46,588 DEBUG __main__:170 | x25 = 0x00000000 (          0)
2025-09-24 22:40:46,588 DEBUG __main__:170 | x26 = 0x00000000 (          0)
2025-09-24 22:40:46,589 DEBUG __main__:170 | x27 = 0x00000000 (          0)
2025-09-24 22:40:46,589 DEBUG __main__:170 | x28 = 0x00000000 (          0)
2025-09-24 22:40:46,589 DEBUG __main__:170 | x29 = 0x00000000 (          0)
2025-09-24 22:40:46,590 DEBUG __main__:170 | x30 = 0x00000000 (          0)
2025-09-24 22:40:46,590 DEBUG __main__:170 | x31 = 0x00000000 (          0)
2025-09-24 22:40:48,422 DEBUG __main__:244 | x02 <- 0x0000000A
2025-09-24 22:41:01,285 DEBUG __main__:166 | === REG DUMP after ADDI ===
2025-09-24 22:41:01,285 DEBUG __main__:170 | x00 = 0x00000000 (          0)
2025-09-24 22:41:01,286 DEBUG __main__:170 | x01 = 0x00000005 (          5)
2025-09-24 22:41:01,286 DEBUG __main__:170 | x02 = 0x0000000A (         10)
2025-09-24 22:41:01,287 DEBUG __main__:170 | x03 = 0x00000000 (          0)
2025-09-24 22:41:01,287 DEBUG __main__:170 | x04 = 0x00000000 (          0)
2025-09-24 22:41:01,287 DEBUG __main__:170 | x05 = 0x00000000 (          0)
2025-09-24 22:41:01,288 DEBUG __main__:170 | x06 = 0x00000000 (          0)
2025-09-24 22:41:01,288 DEBUG __main__:170 | x07 = 0x00000000 (          0)
2025-09-24 22:41:01,288 DEBUG __main__:170 | x08 = 0x00000000 (          0)
2025-09-24 22:41:01,288 DEBUG __main__:170 | x09 = 0x00000000 (          0)
2025-09-24 22:41:01,288 DEBUG __main__:170 | x10 = 0x00000000 (          0)
2025-09-24 22:41:01,289 DEBUG __main__:170 | x11 = 0x00000000 (          0)
2025-09-24 22:41:01,289 DEBUG __main__:170 | x12 = 0x00000000 (          0)
2025-09-24 22:41:01,289 DEBUG __main__:170 | x13 = 0x00000000 (          0)
2025-09-24 22:41:01,289 DEBUG __main__:170 | x14 = 0x00000000 (          0)
2025-09-24 22:41:01,290 DEBUG __main__:170 | x15 = 0x00000000 (          0)
2025-09-24 22:41:01,290 DEBUG __main__:170 | x16 = 0x00000000 (          0)
2025-09-24 22:41:01,290 DEBUG __main__:170 | x17 = 0x00000000 (          0)
2025-09-24 22:41:01,290 DEBUG __main__:170 | x18 = 0x00000000 (          0)
2025-09-24 22:41:01,291 DEBUG __main__:170 | x19 = 0x00000000 (          0)
2025-09-24 22:41:01,291 DEBUG __main__:170 | x20 = 0x00000000 (          0)
2025-09-24 22:41:01,291 DEBUG __main__:170 | x21 = 0x00000000 (          0)
2025-09-24 22:41:01,292 DEBUG __main__:170 | x22 = 0x00000000 (          0)
2025-09-24 22:41:01,292 DEBUG __main__:170 | x23 = 0x00000000 (          0)
2025-09-24 22:41:01,292 DEBUG __main__:170 | x24 = 0x00000000 (          0)
2025-09-24 22:41:01,292 DEBUG __main__:170 | x25 = 0x00000000 (          0)
2025-09-24 22:41:01,293 DEBUG __main__:170 | x26 = 0x00000000 (          0)
2025-09-24 22:41:01,293 DEBUG __main__:170 | x27 = 0x00000000 (          0)
2025-09-24 22:41:01,293 DEBUG __main__:170 | x28 = 0x00000000 (          0)
2025-09-24 22:41:01,294 DEBUG __main__:170 | x29 = 0x00000000 (          0)
2025-09-24 22:41:01,294 DEBUG __main__:170 | x30 = 0x00000000 (          0)
2025-09-24 22:41:01,294 DEBUG __main__:170 | x31 = 0x00000000 (          0)
2025-09-24 22:42:34,628 DEBUG __main__:201 | FETCH pc=0x00000008 instr=0x00A00113
2025-09-24 22:42:52,045 DEBUG __main__:251 | ADDI x2, x0, 10
2025-09-24 22:44:11,060 DEBUG __main__:166 | === REG DUMP before ADDI ===
2025-09-24 22:44:11,060 DEBUG __main__:170 | x00 = 0x00000000 (          0)
2025-09-24 22:44:11,061 DEBUG __main__:170 | x01 = 0x00000005 (          5)
2025-09-24 22:44:11,061 DEBUG __main__:170 | x02 = 0x0000000A (         10)
2025-09-24 22:44:11,061 DEBUG __main__:170 | x03 = 0x00000000 (          0)
2025-09-24 22:44:11,062 DEBUG __main__:170 | x04 = 0x00000000 (          0)
2025-09-24 22:44:11,062 DEBUG __main__:170 | x05 = 0x00000000 (          0)
2025-09-24 22:44:11,062 DEBUG __main__:170 | x06 = 0x00000000 (          0)
2025-09-24 22:44:11,062 DEBUG __main__:170 | x07 = 0x00000000 (          0)
2025-09-24 22:44:11,063 DEBUG __main__:170 | x08 = 0x00000000 (          0)
2025-09-24 22:44:11,063 DEBUG __main__:170 | x09 = 0x00000000 (          0)
2025-09-24 22:44:11,063 DEBUG __main__:170 | x10 = 0x00000000 (          0)
2025-09-24 22:44:11,063 DEBUG __main__:170 | x11 = 0x00000000 (          0)
2025-09-24 22:44:11,063 DEBUG __main__:170 | x12 = 0x00000000 (          0)
2025-09-24 22:44:11,064 DEBUG __main__:170 | x13 = 0x00000000 (          0)
2025-09-24 22:44:11,064 DEBUG __main__:170 | x14 = 0x00000000 (          0)
2025-09-24 22:44:11,064 DEBUG __main__:170 | x15 = 0x00000000 (          0)
2025-09-24 22:44:11,064 DEBUG __main__:170 | x16 = 0x00000000 (          0)
2025-09-24 22:44:11,065 DEBUG __main__:170 | x17 = 0x00000000 (          0)
2025-09-24 22:44:11,065 DEBUG __main__:170 | x18 = 0x00000000 (          0)
2025-09-24 22:44:11,065 DEBUG __main__:170 | x19 = 0x00000000 (          0)
2025-09-24 22:44:11,065 DEBUG __main__:170 | x20 = 0x00000000 (          0)
2025-09-24 22:44:11,066 DEBUG __main__:170 | x21 = 0x00000000 (          0)
2025-09-24 22:44:11,066 DEBUG __main__:170 | x22 = 0x00000000 (          0)
2025-09-24 22:44:11,066 DEBUG __main__:170 | x23 = 0x00000000 (          0)
2025-09-24 22:44:11,066 DEBUG __main__:170 | x24 = 0x00000000 (          0)
2025-09-24 22:44:11,066 DEBUG __main__:170 | x25 = 0x00000000 (          0)
2025-09-24 22:44:11,067 DEBUG __main__:170 | x26 = 0x00000000 (          0)
2025-09-24 22:44:11,067 DEBUG __main__:170 | x27 = 0x00000000 (          0)
2025-09-24 22:44:11,067 DEBUG __main__:170 | x28 = 0x00000000 (          0)
2025-09-24 22:44:11,067 DEBUG __main__:170 | x29 = 0x00000000 (          0)
2025-09-24 22:44:11,068 DEBUG __main__:170 | x30 = 0x00000000 (          0)
2025-09-24 22:44:11,068 DEBUG __main__:170 | x31 = 0x00000000 (          0)
2025-09-24 22:44:21,940 DEBUG __main__:244 | x02 <- 0x0000000A
2025-09-24 22:44:25,317 DEBUG __main__:166 | === REG DUMP after ADDI ===
2025-09-24 22:44:25,318 DEBUG __main__:170 | x00 = 0x00000000 (          0)
2025-09-24 22:44:25,318 DEBUG __main__:170 | x01 = 0x00000005 (          5)
2025-09-24 22:44:25,319 DEBUG __main__:170 | x02 = 0x0000000A (         10)
2025-09-24 22:44:25,319 DEBUG __main__:170 | x03 = 0x00000000 (          0)
2025-09-24 22:44:25,319 DEBUG __main__:170 | x04 = 0x00000000 (          0)
2025-09-24 22:44:25,320 DEBUG __main__:170 | x05 = 0x00000000 (          0)
2025-09-24 22:44:25,320 DEBUG __main__:170 | x06 = 0x00000000 (          0)
2025-09-24 22:44:25,320 DEBUG __main__:170 | x07 = 0x00000000 (          0)
2025-09-24 22:44:25,320 DEBUG __main__:170 | x08 = 0x00000000 (          0)
2025-09-24 22:44:25,321 DEBUG __main__:170 | x09 = 0x00000000 (          0)
2025-09-24 22:44:25,321 DEBUG __main__:170 | x10 = 0x00000000 (          0)
2025-09-24 22:44:25,321 DEBUG __main__:170 | x11 = 0x00000000 (          0)
2025-09-24 22:44:25,321 DEBUG __main__:170 | x12 = 0x00000000 (          0)
2025-09-24 22:44:25,322 DEBUG __main__:170 | x13 = 0x00000000 (          0)
2025-09-24 22:44:25,322 DEBUG __main__:170 | x14 = 0x00000000 (          0)
2025-09-24 22:44:25,322 DEBUG __main__:170 | x15 = 0x00000000 (          0)
2025-09-24 22:44:25,322 DEBUG __main__:170 | x16 = 0x00000000 (          0)
2025-09-24 22:44:25,322 DEBUG __main__:170 | x17 = 0x00000000 (          0)
2025-09-24 22:44:25,323 DEBUG __main__:170 | x18 = 0x00000000 (          0)
2025-09-24 22:44:25,323 DEBUG __main__:170 | x19 = 0x00000000 (          0)
2025-09-24 22:44:25,323 DEBUG __main__:170 | x20 = 0x00000000 (          0)
2025-09-24 22:44:25,324 DEBUG __main__:170 | x21 = 0x00000000 (          0)
2025-09-24 22:44:25,324 DEBUG __main__:170 | x22 = 0x00000000 (          0)
2025-09-24 22:44:25,324 DEBUG __main__:170 | x23 = 0x00000000 (          0)
2025-09-24 22:44:25,324 DEBUG __main__:170 | x24 = 0x00000000 (          0)
2025-09-24 22:44:25,325 DEBUG __main__:170 | x25 = 0x00000000 (          0)
2025-09-24 22:44:25,325 DEBUG __main__:170 | x26 = 0x00000000 (          0)
2025-09-24 22:44:25,325 DEBUG __main__:170 | x27 = 0x00000000 (          0)
2025-09-24 22:44:25,326 DEBUG __main__:170 | x28 = 0x00000000 (          0)
2025-09-24 22:44:25,326 DEBUG __main__:170 | x29 = 0x00000000 (          0)
2025-09-24 22:44:25,326 DEBUG __main__:170 | x30 = 0x00000000 (          0)
2025-09-24 22:44:25,327 DEBUG __main__:170 | x31 = 0x00000000 (          0)
2025-09-24 22:46:07,620 DEBUG __main__:201 | FETCH pc=0x0000000C instr=0x002081B3
2025-09-24 22:47:33,588 DEBUG __main__:260 | ADD x3, x1, x2
2025-09-24 22:47:49,156 DEBUG __main__:166 | === REG DUMP before ADD ===
2025-09-24 22:47:49,157 DEBUG __main__:170 | x00 = 0x00000000 (          0)
2025-09-24 22:47:49,158 DEBUG __main__:170 | x01 = 0x00000005 (          5)
2025-09-24 22:47:49,158 DEBUG __main__:170 | x02 = 0x0000000A (         10)
2025-09-24 22:47:49,158 DEBUG __main__:170 | x03 = 0x00000000 (          0)
2025-09-24 22:47:49,159 DEBUG __main__:170 | x04 = 0x00000000 (          0)
2025-09-24 22:47:49,159 DEBUG __main__:170 | x05 = 0x00000000 (          0)
2025-09-24 22:47:49,159 DEBUG __main__:170 | x06 = 0x00000000 (          0)
2025-09-24 22:47:49,160 DEBUG __main__:170 | x07 = 0x00000000 (          0)
2025-09-24 22:47:49,160 DEBUG __main__:170 | x08 = 0x00000000 (          0)
